Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,1,Jeffrey,Mumford,"Mumford, Jeffrey ",Man,Black,Y,American,20,20-21,,1955,,Y,https://dbpedia.org/page/Jeffrey_Mumford,Fragments from the surrounding evening: for solo piano 
Individual Composer,1,1,Thea,Musgrave,"Musgrave, Thea",Woman,White,N,Scottish,20,20-21,,1928,,Y,https://dbpedia.org/page/Thea_Musgrave,Light at the end of the tunnel: solo for viola (2020) 
Individual Composer,1,5,Johanny,Navarro,"Navarro, Johanny ",Woman,Latinx,Y,Puerto Rican,20,20-21,Afro-Caribbean,1992,,Y,,(1) Héroes de un sueño: for trombone quartet; (2) Celebration: for piano trio; (3) Conflagración de deseos = Conflagration of desires; (4) Guakía Baba: Padre Nuestro en Taíno = (The Lord's Prayer in Taino); (5) Son a papa
Individual Composer,1,1,Olga,Neuwirth,"Neuwirth, Olga ",Woman,White,N,Austrian,20,20-21,,1968,,Y,https://dbpedia.org/page/Olga_Neuwirth,"volutasospeso: für Bassetthorn, Klarinette, Violine, Violoncello, Klavier und Percussion: 1999 "
Individual Composer,1,2,Cait,Nishimura,"Nishimura, Cait ",Woman,Asian,Y,Canadian,20,20-21,,1991,,Y,,(1) Lake superior suite: for concert band (2018); (2) Alpine meadow: for concert band (2020)
Individual Composer,1,1,Andrew,Norman,"Norman, Andrew ",Man,White,N,American,20,20-21,,1979,,Y,https://dbpedia.org/page/Andrew_Norman,Play 
Individual Composer,1,1,Arvo,Pärt,"Pärt, Arvo ",Man,White,N,Estonian,20,20-21,,1935,,Y,https://dbpedia.org/page/Arvo_P%C3%A4rt,"Sequentia: für violine, schlagzeug und streichorchester (20052019) "
Individual Composer,1,1,Stephen,Paulus,"Paulus, Stephen",Man,White,N,American,20,20-21,,1949,2014,N,https://dbpedia.org/page/Stephen_Paulus,"The Long shadow of Lincoln: for bass-baritone, violin, violoncello and piano "
Individual Composer,1,1,Alla,Pavlova,"Pavlova, Alla ",Woman,White,N,Russian,20,20-21,Ukrainian,1952,,Y,https://dbpedia.org/page/Alla_Pavlova,Symphony no. 10: path to the golden gate 
Individual Composer,1,1,Coleridge-Taylor,Perkinson,"Perkinson, Coleridge-Taylor",Man,Black,Y,American,20,20-21,,1932,2004,N,https://dbpedia.org/page/Coleridge-Taylor_Perkinson,Movement: for string trio 
Individual Composer,1,7,Zenobia Powell,Perry,"Perry, Zenobia Powell ",Woman,Black,Y,American,20,20-21,,1908,2004,N,https://dbpedia.org/page/Zenobia_Powell_Perry,"(1) War time, from the opera Tawawa House: for 2 trumpets, snare and bass; (2) Sonatine: for piano solo (1962); (3) The Cottage: for soprano and piano (1965); (4) Nocturne: for piano solo (1961); (5) Pastels: for orchestra (1986); (6) Fire music from the opera tarawa house: for solo piano; (7) Four mynyms for three players: for flute, b flat clarinet and piano"
Individual Composer,1,1,Astor,Piazzolla,"Piazzolla, Astor ",Man,Latinx,Y,Argentinian,20,20,,1921,1992,N,https://dbpedia.org/page/Astor_Piazzolla,Libertango: für Salonensemble 
Individual Composer,1,8,Florence Beatrice,Price,"Price, Florence Beatrice ",Woman,Black,Y,American,19,19-20,,1888,1953,N,https://dbpedia.org/page/Florence_Price,(1) Thumbnail sketches of a day in the life of a washerwoman: for piano solo; (2 Adoration: for violin or viola and piano; (3) Seven descriptive pieces: for piano solo; (4) Whim wham: for piano solo; (5) Joy in June: for piano solo; (6) Three miniature portraits of Uncle Ned: for piano solo; (7) Child asleep: for piano solo; (8) Passacaglia and fugue; short organ works
Individual Composer,1,2,Kevin,Puts,"Puts, Kevin ",Man,White,N,American,20,20-21,,1972,,Y,https://dbpedia.org/page/Kevin_Puts,"(1) The brightness of light: for soprano, baritone and orchestra; (2) Elizabeth Cree: a chamber opera in one act"
Individual Composer,1,1,Shulamit,Ran,"Ran, Shulamit ",Woman,White,N,Israeli-American,20,20-21,,1949,,Y,https://dbpedia.org/page/Shulamit_Ran,"Excursions: for violin, cello and piano "
Individual Composer,1,1,Silvestre,Revueltas,"Revueltas, Silvestre ",Man,Latinx,Y,Mexican,19,19-20,,1899,1940,N,https://dbpedia.org/page/Silvestre_Revueltas,"Es verdad (it is true), from two songs: for medium voice and piano "
